PlotDetails_PK,Year,Str,Flight_FK,SiteID,PlotID,BegArea,EndArea,BegList,EndList,Comment
129,2023,SC,22,L12,cc.1c,,,,,
130,2023,SC,22,A14,cb.1e,,,,,
131,2023,SC,22,L09,cd.1c,,,,,
132,2023,SC,22,L33,ce.1d,,,,,
133,2023,Co,22,L25,cg.1d,,,,,
134,2023,SC,22,L22,cg.1d,,,,,
135,2023,ND,22,OOS,,,,,,
136,2023,SC,23,L44,c7.1m,,,,,
137,2023,SC,23,L08,c7.1n,,,,,
138,2023,SC,23,A03,c6.1o,,,,,Combined. Didn't finish due to illness; didn't et to list frame of this plot during this flight.
139,2023,SC,24,A03,c6.1o,,,,,Combined. Continued from 5/13/23; saw list colony during search.
140,2023,SC,24,A18,c4.1o,,,,,Combined. 
141,2023,SC,24,L47,c5.1n,,,,,
142,2023,SC,24,L37,c5.1m,,,,,
143,2023,Co,24,A06,c9.1m,,,,,
144,2023,SC,25,L16,cg.18,,,,,
145,2023,SC,25,L43,cf.18,,,,,
146,2023,ND,25,L71,cf.16,,,,,
147,2023,SC,25,L34,cg.15,,,,,
148,2023,SC,25,L38,cg.16,,,,,
149,2023,SC,25,L48,ch.16,,,,,
150,2023,SC,25,L05,cj.18,,,,,
151,2023,,25,OOS,,,,,,
152,2023,SC,25,A16,ci.19,,,,,Combined. 
153,2023,,26,OOS,,,,,,
154,2023,SC,26,L18,c4.1l,,,,,
155,2023,SC,26,L13,c2.1l,,,,,
156,2023,ND,26,L84,c2.1l,,,,,
157,2023,SC,26,L02,c9.1j,,,,,
158,2023,SC,26,L10,c8.1i,,,,,
159,2023,SC,26,L42,c8.1g,,,,,
160,2023,SC,26,L20,ca.1g,,,,,
161,2023,SC,26,L04,ca.1h,,,,,
162,2023,,27,OOS,,,,,,
163,2023,SC,27,A01,cf.1b,,,,,
164,2023,SC,27,A31,cd.19,,,,,Combined. Detected all sites during search
165,2023,SC,27,A13,cf.19,,,,,Combined. 
166,2023,Co,28,A24,ca.1o,,,,,Combined. Detected all sites during search
167,2023,Co,28,L27,ca.1n,,,,,
168,2023,Co,28,L55,cc.1n,,,,,
169,2023,Co,28,L57,cc.1m,,,,,
170,2023,Co,28,L53,cb.1m,,,,,
171,2023,Co,28,L77,cc.1l,,,,,
172,2023,Co,28,L61,cc.1k,,,,,
173,2023,SC,28,L46,cc.1k,,,,,
174,2023,Co,28,L29,cd.1j,,,,,
175,2023,SC,28,L15,cc.1h,,,,,
176,2023,SC,28,L50,cb.1h,,,,,
177,2023,,28,OOS,,,,,,
178,2023,,29,OOS,,,,,,
179,2023,Co,29,L26,cl.1a,,,,,
180,2023,Co,29,L24,cl.1b,,,,,
181,2023,Co,29,L62,cn.1c,,,,,
182,2023,Co,29,A07,co.1b,,,,,
183,2023,Co,29,A20,cp.19,,,,,
184,2023,Co,29,L60,cj.1c,,,,,
185,2023,SC,29,L51,ci.1a,,,,,
186,2023,Co,30,A22,cs.15,,,,,
187,2023,,30,OOS,,,,,,
188,2023,ND,30,A10,cq.13,,,,,
189,2023,ND,30,A30,co.0z,,,,,
190,2023,SC,30,A17,cd.1e,,,,,Combined. 
191,2023,SC,30,L21,cb.1f,,,,,
192,2023,SC,30,L52,cc.1f,,,,,
193,2023,SC,30,L45,ce.1e,,,,,
194,2023,SC,30,L17,cf.1e,,,,,
195,2023,SC,31,L32,ch.1b,,,,,
196,2023,SC,31,L39,ch.1c,,,,,Split Plot
197,2023,Co,31,L59,ck.1d,,,,,
198,2023,Co,31,A08,cl.1d,,,,,Combined. 
199,2023,Co,31,A23,cm.1e,,,,,Combined. 
200,2023,Co,31,L30,ck.1g,,,,,
201,2023,Co,31,L76,cj.1h,,,,,
202,2023,,31,OOS,,,,,,
203,2023,Co,31,L28,ch.1j,,,,,
204,2023,Co,31,L23,cf.1k,,,,,
205,2023,Co,31,L58,ce.1j,,,,,
206,2023,ND,32,L83,cd.17,,,,,
207,2023,,32,OOS,,,,,,
208,2023,ND,32,L87,cb.17,,,,,
209,2023,ND,32,L85,ca.18,,,,,
210,2023,ND,32,L74,c9.19,,,,,
211,2023,ND,32,L86,cd.10,,,,,
212,2023,ND,32,A27,cj.0w,,,,,
213,2023,SC,33,L14,c9.1e,,,,,
214,2023,SC,33,L31,ca.1d,,,,,
215,2023,SC,33,L06,c8.1c,,,,,
216,2023,ND,33,A26,c7.17,,,,,
217,2023,ND,33,L75,c6.1c,,,,,
218,2023,ND,33,L73,c4.15,,,,,
219,2023,,33,OOS,,,,,,
220,2023,ND,33,A11,c6.18,,,,,
221,2023,Co,34,L54,cf.1g,,,,,
222,2023,Co,34,L56,cg.1h,,,,,
223,2023,Co,34,A21,cg.1f,,,,,
224,2023,Co,34,A19,cg.1i,,,,,Paused from 10:06-10:20 due to illness
225,2023,SC,34,L03,ce.1g,,,,,
227,2023,SC,35,A32,c7.1f,,,,,
228,2023,ND,35,L72,bz.1b,,,,,
229,2023,ND,35,A29,c2.1c,,,,,
230,2023,,36,OOS,,,,,,
231,2023,ND,36,A28,c9.0o,,,,,
232,2023,ND,36,L89,cg.0r,,,,,
233,2023,ND,36,A09,cf.0j,,,,,
235,2023,ND,37,A25,c5.0w,,,,,
236,2023,ND,37,L82,c8.0v,,,,,
237,2023,SC,20,L41,c5.1r,,,,,
238,2023,Co,31,L39,ch.1c,,,,,Split Plot with 196
