Str,PlotID,Lng,Lat,KMSq,nCol,nNest,nAct
ND,c6.1e,-70.21752884606492,44.67934344769789,98.89002606579507,0,0,0
SC,c6.1e,-70.17106564438384,44.635342510923024,1.109973934262276,2,2,0
ND,c7.1e,-70.1302243761073,44.68484972755803,16.15798017319107,0,0,0
SC,c7.1e,-70.08855874007035,44.64893068618426,83.84201982682877,0,0,0
SC,c8.1e,-69.9736504491683,44.63050577359936,99.99999999998093,4,0,0
SC,c9.1e,-69.85210024628073,44.60616707356041,100.00000000001907,6,50,50
SC,ca.1e,-69.73063775779681,44.58171919485266,100.00000000005723,0,0,0
SC,cb.1e,-69.60926328520537,44.557162268741806,100.00000000001907,0,0,0
SC,cc.1e,-69.48797712840994,44.532496426756126,99.99999999998093,0,0,0
SC,cd.1e,-69.36677958572687,44.507721800681715,100.00000000001907,4,10,10
SC,ce.1e,-69.24567095388377,44.4828385225588,100.0000000000534,2,0,0
SC,cf.1e,-69.12825030553502,44.46055062119343,92.32665921962221,4,10,4
Co,cf.1e,-69.08137308485489,44.42530668746924,7.673340780394554,0,0,0
SC,cg.1e,-69.04377403410943,44.47951265707341,1.953769712817192,0,0,0
Co,cg.1e,-69.00292403790142,44.43181455487689,98.04623028716516,0,0,0
Co,ch.1e,-68.88288146680642,44.40753810002344,100.00000000001907,0,0,0
Co,ci.1e,-68.76213141376972,44.382221539042696,100.00000000005723,0,0,0
Co,cj.1e,-68.64147173132577,44.3567969898789,100.00000000001907,0,0,0
Co,ck.1e,-68.5209027066381,44.33126458600912,99.99999999998093,0,0,0
Co,cl.1e,-68.40042462527134,44.30562446113527,100.00000000001907,0,0,0
Co,cm.1e,-68.28003777119027,44.27987674918051,100.0000000000534,0,0,0
Co,cn.1e,-68.16465458084434,44.25812688067839,88.68328472342444,0,0,0
ND,bz.1d,-71.01175256059476,44.931867069127804,56.93140316208387,0,0,0
ND,c0.1d,-70.91612862399225,44.90799883278153,99.99999999998093,0,0,0
ND,c1.1d,-70.79374186429526,44.88450338218963,99.99999999994277,0,0,0
ND,c2.1d,-70.67144067180642,44.860897592209334,99.99999999998093,0,0,0
ND,c3.1d,-70.54922536150275,44.83718159259139,100.00000000001907,0,0,0
ND,c4.1d,-70.42709624678278,44.81335551338302,99.99999999998093,0,0,0
ND,c5.1d,-70.30505363946432,44.78941948492357,99.9999999999466,0,0,0
ND,c6.1d,-70.1830978497822,44.765373637840405,100.00000000001526,0,0,0
ND,c7.1d,-70.06837798502457,44.74774506414192,81.78310010316396,0,0,0
SC,c7.1d,-70.02915234907394,44.71191238283772,18.216899896820188,0,0,0
SC,c8.1d,-69.93944795633918,44.71695301172709,99.99999999994277,4,0,0
SC,c9.1d,-69.81775446511479,44.69257849535359,99.99999999998093,0,0,0
SC,ca.1d,-69.69614901659571,44.668094685661096,100.00000000001907,0,0,0
SC,cb.1d,-69.57463191307187,44.64350171465361,99.99999999998093,0,0,0
SC,cc.1d,-69.45320345523861,44.61879971459776,99.99999999994277,6,96,92
SC,cd.1d,-69.33186394219479,44.59398881801855,99.99999999998093,2,0,0
SC,ce.1d,-69.21061367144125,44.56906915769538,100.00000000001907,0,0,0
SC,cf.1d,-69.08945293887932,44.544040866657646,99.99999999998093,0,0,0
SC,cg.1d,-68.98250491521429,44.53535915981279,54.40369055977869,2,10,6
Co,cg.1d,-68.95154017437777,44.4992693404982,45.59630944016838,2,16,16
SC,ch.1d,-68.88941890959396,44.54817139296782,0.046463754067659,0,0,0
Co,ch.1d,-68.84738174761678,44.493633583876985,99.95353624591338,2,22,22
Co,ci.1d,-68.72651090532953,44.46830554321548,100.00000000001907,0,0,0
Co,cj.1d,-68.60571125250144,44.44284406446996,99.99999999998093,0,0,0
Co,ck.1d,-68.48500259332505,44.417274623762715,99.99999999994277,0,0,0
Co,cl.1d,-68.36438521407362,44.39159735553624,99.99999999998093,0,0,0
Co,cm.1d,-68.24385939941119,44.365812394454075,100.00000000001907,0,0,0
Co,cn.1d,-68.12342543239171,44.339919875396745,99.99999999998093,2,0,0
Co,co.1d,-68.0103588978254,44.32426247885837,73.99908326768613,0,0,0
ND,by.1c,-71.05253376460314,45.07074792082604,0.118048466057539,0,0,0
ND,bz.1c,-70.99967052127442,45.01884399257522,90.93628247193384,0,0,0
ND,c0.1c,-70.88299890660117,44.99473759994033,100.00000000001907,0,0,0
ND,c1.1c,-70.76046594555561,44.97120711380805,99.99999999998093,2,0,0
ND,c2.1c,-70.63801887485252,44.947566167358886,100.00000000001907,0,0,0
ND,c3.1c,-70.51565801034668,44.9238148910826,100.0000000000534,0,0,0
ND,c4.1c,-70.39338366630516,44.89995341576614,100.00000000001907,0,0,0
ND,c5.1c,-70.27119615540482,44.875981872489234,99.99999999998093,0,0,0
ND,c6.1c,-70.1490957887302,44.85190039262008,100.00000000005723,0,0,0
ND,c7.1c,-70.03292672794949,44.82682928683072,91.05530271903945,0,0,0
SC,c7.1c,-69.96758490663865,44.83665111317064,8.944697280979156,0,0,0
SC,c8.1c,-69.90515772442225,44.80340814999533,99.99999999998093,4,48,42
SC,c9.1c,-69.783320640978,44.7789976513805,100.00000000001907,0,0,0
SC,ca.1c,-69.66157193013358,44.75447774444658,100.00000000005723,2,0,0
SC,cb.1c,-69.53991189498177,44.729848561940635,100.00000000001907,0,0,0
SC,cc.1c,-69.41834083701147,44.70511023687273,99.99999999998093,4,12,12
SC,cd.1c,-69.29685905610573,44.68026290251189,100.00000000001907,4,22,16
SC,ce.1c,-69.17546685054025,44.6553066923815,100.0000000000534,4,0,0
SC,cf.1c,-69.05416451698187,44.630241740255435,100.00000000001907,2,8,8
SC,cg.1c,-68.93295235048691,44.605068180153744,99.99999999998093,4,30,30
SC,ch.1c,-68.81716677161923,44.59604352712349,61.329650148562074,4,0,0
