Year,FWSColonyID,Str,PlotID,Lng,Lat,nNest,nActive
2015,ME.0628,SC,cj.18,-68.4664069026,44.8501173136,4,2
2015,ME.0629,SC,ce.1a,-69.1379804544,44.8472449182,0,0
2015,ME.0630,Co,cb.1m,-69.9063933043,43.8625140999,2,0
2015,ME.0631,SC,ca.1g,-69.8104710018,44.4170071639,0,0
2015,ME.0632,SC,cc.1c,-69.4030283645,44.7115363114,6,6
2015,ME.0633,SC,cd.1d,-69.3808166666,44.6140389751,0,0
2015,ME.0634,SC,cf.19,-69.0028217646,44.8733125776,0,0
2015,ME.0635,SC,cf.1a,-68.9213279372,44.8216911053,13,10
2015,ME.0636,SC,c9.1h,-69.9125471522,44.3040966403,50,50
2015,ME.0640,SC,ci.19,-68.6497331157,44.8087720453,0,0
2015,ME.0646,SC,c6.1w,-70.7959443864,43.1233125557,12,7
2015,ME.0648,SC,cb.1f,-69.6505808481,44.4503692858,12,11
2015,ME.0649,SC,c4.1q,-70.8784332846,43.6509601265,0,0
2015,ME.0651,SC,cg.1a,-68.8953913454,44.7829901772,0,0
2015,ME.0652,SC,ce.1a,-69.1088160397,44.840139229,0,0
2015,ME.0653,SC,c9.1i,-69.9785713832,44.2742199887,0,0
2015,ME.0654,SC,ce.1c,-69.1380955904,44.6608461645,0,0
2015,ME.0655,SC,cf.18,-68.8382659959,45.0006342281,0,0
2015,ME.0656,SC,ca.1g,-69.8521049692,44.3804851816,11,9
2015,ME.0657,SC,ch.1b,-68.8024286097,44.7023428208,0,0
2015,ME.0658,SC,c8.1c,-69.9371563354,44.8067516118,9,7
2015,ME.0661,SC,ce.1c,-69.1452202094,44.6415020525,0,0
2015,ME.0666,ND,cd.17,-69.0983242245,45.1044124195,0,0
2015,ME.0668,Co,cr.17,-67.4075015574,44.7039467667,1,1
2015,ME.0669,Co,cl.1a,-68.3111983807,44.616106799,34,34
2015,ME.0670,SC,c7.1n,-70.3801576462,43.8720155981,1,1
2015,ME.0671,SC,c6.1e,-70.1769662626,44.626912347,1,0
