Year,Obs_PK,PlotDetails_FK,Lng,Lat,AOU,CapHist,Location,FWSColonyID,fNest,rNest,fAct,rAct,Comment
2015,84,54,,,GBHE,,Wetland,ME.0822,2,0,2,0,Nestlings likely; adults standing at nests.
2015,85,55,,,GBHE,,Wetland,ME.0817,3,,3,,
2015,86,56,,,GBHE,,Wetland,ME.0773,3,0,3,0,Plus 1 active OSPR nest.
2015,87,56,,,GBHE,,Wetland,ME.0684,1,0,0,0,Active OSPR nest; hard to deterine if GBHE nest active because in shadow of tree.
2015,88,56,,,GBHE,,Wetland,ME.0640,0,0,0,0,
2015,89,58,,,GBHE,,Wetland,ME.0835,6,2,6,2,
2015,90,55,,,GBHE,,Wetland,ME.0758,0,0,0,0,
2015,91,59,,,GBHE,,Wetland,ME.0834,2,2,0,1,1 active OSPR; 3 empty OSPR; 1 GBHE nest.
2015,92,60,-68.46609843,44.54269259803749,GBHE,x11,Wetland,ME.0848,2,2,2,2,2 nests in 1 tree.
2015,93,55,,,GBHE,,Wetland,ME.0812,0,,0,,
2015,94,55,,,GBHE,,Wetland,ME.0736,1,,0,,
2015,95,55,,,GBHE,,Wetland,ME.0657,0,,0,,
2015,96,61,,,GBHE,,Wetland,ME.0628,3,3,2,2,
2015,97,62,,,GBHE,,Wetland,ME.0770,10,9,10,4,Nests low in trees at middle-north section of wetland.
2015,98,63,,,GBHE,,Wetland,ME.0833,19,21,0,0,1 active OSPR nest.
2015,99,63,,,GBHE,,Wetland,ME.0669,35,38,30,16,2 separate lobes contain nests.
2015,100,64,,,GBHE,,Upland,ME.0016,0,0,0,0,No nests found.
2015,101,64,,,GBHE,,Wetland,ME.0701,1,1,1,1,Plus 1 active GHOW nest with 2 owlets.
2015,102,66,,,GBHE,,Wetland,ME.0714,0,0,0,0,
2015,103,66,,,GBHE,,Wetland,ME.0840,1,1,1,1,
2015,104,66,,,GBHE,,Upland,ME.0604,13,13,11,13,
2015,105,68,,,GBHE,,Wetland,ME.0692,29,24,29,24,
2015,106,50,,,GBHE,x11,Upland,ME.0679,14,11,14,11,3 active GBHE nests on shore of point to west of island. 11 active nests on island.
2015,107,70,,,GBHE,,Wetland,ME.0810,4,4,4,4,We forgot to check this colony when we did rest of L37 on earlier date.
2015,108,71,-70.60764077,43.72165301123309,GBHE,,Wetland,ME.0849,19,,17,,Most of nests in pines (live & dead) on peninsula. 4 nests in 1 tree northwest of peninsula.
2015,109,72,,,GBHE,,Wetland,ME.0744,0,0,0,0,One heron seen foraging at south end.
2015,110,73,,,GBHE,,Wetland,ME.0819,1,1,1,0,Very dry; hard to tell if active - looked like bird incubating.
2015,111,74,,,GBHE,,Wetland,ME.0740,0,0,0,0,
2015,112,74,,,GBHE,,Wetland,ME.0763,7,2,6,1,
2015,113,75,,,GBHE,,Wetland,ME.0746,9,4,1,0,
2015,114,75,,,GBHE,,Wetland,ME.0675,1,0,1,0,
2015,115,76,-68.86847323,45.23421799840678,GBHE,x10,Wetland,ME.0850,2,2,0,0,Moose in wetland.
2015,116,78,-67.34892377,45.10505709527638,OSPR,x01,,,1,1,0,0,1 empty nest looked like OSPR.
2015,117,78,-67.36318012,45.07945423663581,BAEA,x10,Upland,,1,1,0,0,Empty BAEA nest in prominent pine just north of house.
2015,118,78,-67.45237739,45.13712113862388,OSPR,x10,Wetland,,1,0,0,0,"OSPR nest low in tree, empty."
2015,119,79,-67.23146819,44.86889662222928,OSPR,x11,Wetland,,2,2,1,1,West nest was active.
2015,120,79,-67.24394502,44.90775315,OSPR,x01,,,1,1,1,1,Active OSPR nest.
2015,121,80,-69.41337925,44.07777267427577,OSPR,,Wetland,,1,1,0,0,Empty nest looks like OSPR.
2015,122,81,,,GBHE,,Upland,ME.0007,100,80,70,60,Island.
2015,123,83,,,GBHE,,Upland,ME.0008,65,75,60,70,Island.
2015,124,84,,,GBHE,,Upland,ME.0608,25,30,23,27,Island.
2015,125,86,,,GBHE,,Wetland,ME.0707,7,6,0,0,1 nest was active OSPR.
2015,126,87,-67.88738143,44.507128653644074,GBHE,x10,Wetland,ME.0851,4,4,4,4,"Plus 1 active OSPR, 1 inactive OSPR"
2015,127,88,,,GBHE,,Upland,ME.0510,0,0,0,0,"No nests seen, but did see prominent pine where DD recalls an old nest had been."
2015,128,89,,,GBHE,,Wetland,ME.0823,3,3,3,2,Hard to tell if 3rd nest active.
2015,129,90,,,GBHE,,Wetland,ME.0712,0,0,0,0,
2015,130,90,,,GBHE,,Wetland,ME.0739,0,0,0,0,
