Year,Obs_PK,PlotDetails_FK,Lng,Lat,AOU,CapHist,Location,FWSColonyID,fNest,rNest,fAct,rAct,Comment
2023,352,210,,,GBHE,,Wetland,ME.0846,2,1,0,0,2 nests in same tree
2023,152,121,,,GBHE,x11,Split: upland and wetland,ME.0849,9,10,2,2,Mix oflive and dead trees. One of active nests may have been an osprey nest.
2023,309,182,,,GBHE,x11,Wetland,ME.0851,7,7,7,7,one inactive osprey nest
2023,310,182,,,OSPR,x11,Wetland,ME.0851,1,1,0,0,one inactive osprey nest
2023,373,230,,,,,Upland,ME.0855,0,0,0,0,couldn't find
2023,371,230,,,GBHE,,Upland,ME.0860,16,16,8,8,
2023,254,162,,,GBHE,,Wetland,ME.0861,18,19,18,18,
2023,331,196,,,,,Wetland,ME.0866,0,0,0,0,
2023,162,119,,,GBHE,x11,Wetland,ME.0868,6,6,6,6,
2023,204,144,,,,,Wetland,ME.0870,0,0,0,0,DRY
2023,355,211,,,,,Wetland,ME.0872,1,1,0,0,Nest on finger that went to northeast.
2023,237,154,,,,,Wetland,ME.0877,0,0,0,0,
2023,341,202,,,,,Upland,ME.0878,0,0,0,0,Near L. Garden Island: island with 1 eagle nest; 1 inactive nest.
2023,201,141,,,GBHE,x11,Wetland,ME.0880,6,6,3,1,Hard to tell how many nests active
2023,227,150,,,,,Wetland,ME.0881,0,0,0,0,
2023,350,208,,,,,Wetland,ME.0882,0,0,0,0,
2023,234,152,,,GBHE,x00,Wetland,ME.0883,1,0,1,0,
2023,199,140,,,GBHE,x11,Wetland,ME.0885,5,4,5,4,
2023,336,200,,,,,Upland,ME.0886,0,0,0,0,
2023,203,142,,,GBHE,x11,Wetland,ME.0887,2,3,0,0,Robs saw 1 more nest on the edge of the wetland.
2023,238,155,,,GBHE,,Wetland,ME.0888,30,33,30,33,
2023,257,162,,,GBHE,,Wetland,ME.0889,3,,3,,Robs did not count nests.
2023,161,119,,,GBHE,x11,Wetland,ME.0890,6,7,6,6,The additional empty nest seen by Robs may not be a nest?
2023,192,136,,,GBHE,x11,Wetland,ME.0892,5,4,5,2,
2023,288,174,,,GBHE,,Wetland,ME.0893,2,2,0,0,ONE OF NESTS MAY HAVE BEEN OSPREY?
2023,343,202,,,GBHE,,Upland,ME.0895,11,12,10,10,
2023,365,221,,,GBHE,,Wetland,ME.0899,5,4,5,2,one nest on east side of peninsula agaist live trees.
2023,256,162,,,,,Wetland,ME.0900,0,0,0,0,
2023,312,184,,,GBHE,,Wetland,ME.0901,30,25,30,25,Could even be more like 35-40 active nests - very busy site difficult to count.
2023,313,184,,,OSPR,,Wetland,ME.0901,1,1,1,1,
2023,160,118,,,,,Wetland,ME.0902,0,0,0,0,
2023,232,152,,,GBHE,x00,Upland,ME.0905,1,1,1,1,
2023,346,205,,,,,Wetland,ME.0906,0,0,0,0,
2023,150,121,,,,,Wetland,ME.0907,0,0,0,0,
2023,184,135,,,GBHE,,Wetland,ME.0908,18,20,18,20,
2023,235,153,,,GBHE,,Wetland,ME.0910,1,1,0,0,There may also be a partial old nest here.
2023,151,121,,,,111,Wetland,ME.0910,1,1,0,0,1 inactive nest in wetland just south of 907.
2023,158,118,,,GBHE,x11,Wetland,ME.0911,3,3,3,3,New nearby colony found.
2023,294,177,,,GBHE,x1x,Wetland,ME.0912,8,8,7,7,"NEW SITE FOUND WHILE TRAVELING; 3 NESTS IN 1 TREE, 4 IN SECOND TREE, 1 SINGLE INACTIVE."
2023,172,124,,,GBHE,x11,Wetland,ME.0913,3,3,1,1,Nests in snags in flowage just NE of 703. Found during search.
2023,197,140,,,GBHE,x10,Wetland,ME.0914,7,8,5,2,Difficult to tell how many nests active.
2023,198,140,,,GBHE,x11,Upland,ME.0915,5,5,4,4,Nests in live pines on edge of the wetland
2023,209,144,,,GBHE,x10,Upland,ME.0916,30,15,30,2,Upland pine stand next to the field.
2023,229,152,,,GBHE,x10,Wetland,ME.0917,2,2,0,0,Northwest corner of plot; not detected by Robs at first.
2023,258,164,,,GBHE,x11,Wetland,ME.0918,3,2,3,2,
2023,376,187,,,GBHE,x11,Wetland,ME.0919,6,6,6,6,
2023,375,207,,,OSPR,,Wetland,ME.0921,1,1,1,1,new heron colony also hosting osprey nest
2023,349,207,,,GBHE,x11,Wetland,ME.0921,3,4,3,4,New site to southwest of 882. 1 active OSPR also seen.
