Year,siteID,Str,PlotID,SmpType,xcoord,ycoord,mdcaty,wgt,panel,EvalStatus,EvalReason,Comment
2015,L17,SC,cg.1c,List,-68.9330523756,44.6050571641,1,1.65789473684,PanelOne,TRUE,,
2015,L18,SC,c9.1e,List,-69.8521002463,44.6061670736,2,0.828947368421,PanelOne,TRUE,,
2015,L19,SC,cf.1a,List,-68.983316835,44.8026646043,2,0.828947368421,PanelOne,TRUE,,
2015,L20,SC,c6.1w,List,-70.7812130602,43.1367572126,2,0.828947368421,PanelOne,TRUE,,
2015,L21,SC,ce.1g,List,-69.3155182307,44.3103970319,1,1.65789473684,PanelOne,TRUE,,
2015,L22,SC,c8.1i,List,-70.1095895558,44.2847911157,1,1.65789473684,PanelOne,TRUE,,
2015,L23,SC,c5.1q,List,-70.7374172464,43.6647865638,2,0.828947368421,PanelOne,TRUE,,
2015,L24,SC,c2.1l,List,-70.92199127,44.1603786998,1,1.65789473684,PanelOne,TRUE,,
2015,L25,SC,ch.17,List,-68.6326094804,45.0105261962,1,1.65789473684,PanelOne,TRUE,,
2015,L26,SC,c6.1m,List,-70.4852344768,43.9869748948,1,1.65789473684,PanelOne,TRUE,,
2015,L27,SC,cd.19,List,-69.1904413186,44.9379320289,3,0.552631578947,PanelOne,TRUE,,
2015,L28,SC,cj.1a,List,-68.4978825009,44.7010225339,1,1.65789473684,PanelOne,TRUE,,
2015,L29,SC,cb.1f,List,-69.6438063413,44.470829991,1,1.65789473684,PanelOne,TRUE,,
2015,L30,SC,c5.1t,List,-70.8351834601,43.4054032505,1,1.65789473684,PanelOne,TRUE,,
2015,L31,SC,cj.18,List,-68.4586721669,44.8688044605,1,1.65789473684,PanelOne,TRUE,,
2015,L32,SC,c6.1u,List,-70.7480636643,43.295487366,1,1.65789473684,PanelOne,TRUE,,
2015,L33,SC,cd.1c,List,-69.2968590561,44.6802629025,2,0.828947368421,PanelOne,TRUE,,
2015,L34,SC,c9.1h,List,-69.9546126071,44.3469768674,1,1.65789473684,PanelOne,TRUE,,
2015,L35,SC,cc.1c,List,-69.418340837,44.7051102369,1,1.65789473684,PanelOne,TRUE,,
2015,L36,SC,ca.1g,List,-69.7993515192,44.4089899816,2,0.828947368421,PanelOne,TRUE,,
2015,L37,SC,c6.1r,List,-70.6501245496,43.554756541,4,0.414473684211,PanelOne,TRUE,,Evaluated on 2 separated dates (skipped 1 colony unknowingly on first survey attempt.
2015,L38,SC,c2.1k,List,-70.872009977,44.2140583219,1,1.65789473684,PanelOne,TRUE,,Did not evaluate colony 
2015,L39,Co,ca.1n,List,-70.030175047,43.8132800925,1,1.07142857143,PanelOne,TRUE,,
2015,L40,Co,cb.1o,List,-69.9835756013,43.7301806292,1,1.07142857143,PanelOne,TRUE,,
2015,L41,Co,cl.1b,List,-68.2970489105,44.5655377704,1,1.07142857143,PanelOne,TRUE,,
2015,L42,Co,cf.1k,List,-69.3258751463,43.958750851,1,1.07142857143,PanelOne,TRUE,,
2015,L43,Co,ck.1g,List,-68.6190678058,44.1748097981,1,1.07142857143,PanelOne,TRUE,,
2015,L44,Co,cc.1k,List,-69.696406633,44.0079189606,1,1.07142857143,PanelOne,TRUE,,
2015,L45,Co,ca.1o,List,-70.0904837741,43.7287206082,1,1.07142857143,PanelOne,TRUE,,
2015,L46,Co,cl.1a,List,-68.2511736404,44.6250897289,2,0.535714285714,PanelOne,TRUE,,
2015,L47,Co,ck.1b,List,-68.4081181161,44.5775878798,1,1.07142857143,PanelOne,TRUE,,
2015,L48,Co,ch.1j,List,-69.0736095176,43.9954906161,1,1.07142857143,PanelOne,TRUE,,
2015,L49,Co,cb.1n,List,-69.9150547515,43.7963307936,1,1.07142857143,PanelOne,TRUE,,
2015,L50,Co,cg.1d,List,-68.9515401742,44.4992693404,1,1.07142857143,PanelOne,TRUE,,
2015,L51,Co,cd.1j,List,-69.5316099287,44.0599969072,1,1.07142857143,PanelOne,TRUE,,
2015,L52,Co,cn.1c,List,-68.0735872643,44.4263051305,1,1.07142857143,PanelOne,TRUE,,
2015,L53,ND,bz.1b,List,-70.9725489926,45.1049408002,1,1.15384615385,PanelOne,TRUE,,
2015,L54,ND,ca.19,List,-69.5573072842,45.0136746891,1,1.15384615385,PanelOne,TRUE,,
2015,L55,ND,c5.1f,List,-70.3725084789,44.6163196576,1,1.15384615385,PanelOne,TRUE,,
2015,L56,ND,cm.17,List,-68.0248484195,44.8815506023,1,1.15384615385,PanelOne,TRUE,,
2015,L57,ND,c2.1j,List,-70.8701791526,44.3410643474,1,1.15384615385,PanelOne,TRUE,,
2015,L58,ND,ci.0n,List,-67.811788238,46.7108087546,1,1.15384615385,PanelOne,TRUE,,
2015,L59,ND,c4.15,List,-70.1549458242,45.5063988827,1,1.15384615385,PanelOne,TRUE,,
2015,L60,ND,c6.1j,List,-70.388040558,44.2485355155,2,0.576923076923,PanelOne,TRUE,,
2015,L61,ND,ck.19,List,-68.3324610801,44.763920724,1,1.15384615385,PanelOne,TRUE,,
2015,L62,ND,ch.0q,List,-68.0057038844,46.4766776108,1,1.15384615385,PanelOne,TRUE,,
2015,L63,ND,c9.17,List,-69.6098192731,45.2112177652,1,1.15384615385,PanelOne,TRUE,,
