Obs_PK,WaypointID,NewColony?,WBC_ID,Time,CaptHist,FObsTot,FObsAct,RObsTot,RObsAct,Species,Habitat,Comments,PlotDetails_FK,Strata,Latitude,Longitude
71,,FALSE,4,1899-12-30 11:33:00,,8,8,7,7,GBHE,Upland,Island; Nests in middle of island and south; BZ thought he may have seen a BCNH nest just south of active OSPR nest.,43,Co,,
72,,FALSE,774,,,25,25,25,25,GBHE,Upland,Island; south central part of island.,44,Co,,
73,,FALSE,23,,,0,0,0,0,GBHE,Upland,Island; no nests found. Active eagle nest w/2 adults.,44,Co,,
74,,FALSE,25,,,70,60,50,50,GBHE,Upland,Island,45,Co,,
75,004,TRUE,847,,,1,1,1,1,GBHE,Wetland,1 active nest in NW lobe of wetland.,47,SC,4874296,393524
76,,FALSE,601,1899-12-30 01:51:00,,0,0,0,0,GBHE,Wetland,No nests seen.,48,SC,,
77,,FALSE,687,,,6,6,6,6,GBHE,Wetland,All nests just to east of island with live trees.,48,SC,,
78,,FALSE,830,,,27,27,20,20,GBHE,Wetland,,49,SC,,
79,,FALSE,670,,,1,0,1,0,GBHE,Wetland,1 sparse nest.,49,SC,,
80,,FALSE,820,,,6,6,5,5,GBHE,Wetland,1 nest by itself at NE end.,49,SC,,
81,,FALSE,765,,XX1,11,11,11,11,GBHE,Wetland,"Right under plane on both passes, KM saw it out his left window.",51,Co,,
82,,FALSE,780,,,14,14,16,16,GBHE,Wetland,,53,SC,,
83,,FALSE,635,,,8,8,9,9,GBHE,Wetland,,53,SC,,
84,,FALSE,822,1899-12-30 08:45:00,,2,2,0,0,GBHE,Wetland,Nestlings likely; adults standing at nests.,54,SC,,
85,,FALSE,817,1899-12-30 08:48:00,,3,3,,,GBHE,Wetland,,55,SC,,
86,,FALSE,773,1899-12-30 09:00:00,,3,3,0,0,GBHE,Wetland,Plus 1 active OSPR nest.,56,SC,,
87,,FALSE,684,1899-12-30 09:05:00,,1,0,0,0,GBHE,Wetland,Active OSPR nest; hard to deterine if GBHE nest active because in shadow of tree.,56,SC,,
88,,FALSE,640,1899-12-30 09:11:00,,0,0,0,0,GBHE,Wetland,,56,SC,,
89,,FALSE,835,1899-12-30 10:10:00,,6,6,2,2,GBHE,Wetland,,58,SC,,
90,,FALSE,758,1899-12-30 10:13:00,,0,0,0,0,GBHE,Wetland,,55,SC,,
91,,FALSE,834,1899-12-30 10:27:00,,2,0,2,1,GBHE,Wetland,1 active OSPR; 3 empty OSPR; 1 GBHE nest.,59,Co,,
92,015,TRUE,848,1899-12-30 10:40:00,x11,2,2,2,2,GBHE,Wetland,2 nests in 1 tree.,60,Co,4932290,542413
93,,FALSE,812,,,0,0,,,GBHE,Wetland,,55,SC,,
94,,FALSE,736,,,1,0,,,GBHE,Wetland,,55,SC,,
95,,FALSE,657,,,0,0,,,GBHE,Wetland,,55,SC,,
96,,FALSE,628,1899-12-30 11:29:00,,3,2,3,2,GBHE,Wetland,,61,SC,,
97,,FALSE,770,1899-12-30 11:43:00,,10,10,9,4,GBHE,Wetland,Nests low in trees at middle-north section of wetland.,62,ND,,
98,,FALSE,833,,,19,0,21,0,GBHE,Wetland,1 active OSPR nest.,63,Co,,
99,,FALSE,669,,,35,30,38,16,GBHE,Wetland,2 separate lobes contain nests.,63,Co,,
100,,FALSE,16,1899-12-30 12:05:00,,0,0,0,0,GBHE,Upland,No nests found.,64,Co,,
101,,FALSE,701,1899-12-30 12:33:00,,1,1,1,1,GBHE,Wetland,Plus 1 active GHOW nest with 2 owlets.,64,Co,,
102,,FALSE,714,1899-12-30 10:17:00,,0,0,0,0,GBHE,Wetland,,66,ND,,
103,,FALSE,840,1899-12-30 10:18:00,,1,1,1,1,GBHE,Wetland,,66,ND,,
104,,FALSE,604,,,13,11,13,13,GBHE,Upland,,66,ND,,
105,,FALSE,692,1899-12-30 11:34:00,,29,29,24,24,GBHE,Wetland,,68,SC,,
106,,FALSE,679,1899-12-30 11:52:00,x11,14,14,11,11,GBHE,Upland,3 active GBHE nests on shore of point to west of island. 11 active nests on island.,50,SC,,
107,,FALSE,810,1899-12-30 12:20:00,,4,4,4,4,GBHE,Wetland,We forgot to check this colony when we did rest of L37 on earlier date.,70,SC,,
108,016,TRUE,849,1899-12-30 12:35:00,,19,17,,,GBHE,Wetland,Most of nests in pines (live & dead) on peninsula. 4 nests in 1 tree northwest of peninsula.,71,SC,4842214,370507
109,,FALSE,744,1899-12-30 12:57:00,,0,0,0,0,GBHE,Wetland,One heron seen foraging at south end.,72,SC,,
110,,FALSE,819,,,1,1,1,0,GBHE,Wetland,Very dry; hard to tell if active - looked like bird incubating.,73,SC,,
111,,FALSE,740,,,0,0,0,0,GBHE,Wetland,,74,SC,,
112,,FALSE,763,1899-12-30 09:29:00,,7,6,2,1,GBHE,Wetland,,74,SC,,
113,,FALSE,746,1899-12-30 09:40:00,,9,1,4,0,GBHE,Wetland,,75,ND,,
114,,FALSE,675,1899-12-30 09:51:00,,1,1,0,0,GBHE,Wetland,,75,ND,,
