Svy,siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,Plot,PlotID,SmpType,Comment
GBHE,L15,-69.59176778,44.27362765,10,1.96113177,SC,PanelOne,Evaluated,,L15,cc.1h,List,
GBHE,L16,-68.79032561,44.94979482,15,1.960664692,SC,PanelOne,Evaluated,,L16,cg.18,List,
GBHE,L17,-69.12465153,44.45784672,7,2.123842002,SC,PanelOne,Evaluated,,L17,cf.1e,List,
GBHE,L18,-70.69370965,44.12086043,26,1.961147535,SC,PanelOne,Evaluated,,L18,c4.1l,List,
GBHE,L19,-70.68285322,43.46832878,3,1.961149199,SC,PanelOne,Evaluated,,L19,c6.1s,List,
GBHE,L20,-69.79935152,44.40898998,21,1.961192068,SC,PanelOne,Evaluated,,L20,ca.1g,List,
GBHE,L21,-69.64380634,44.47082999,12,1.961149892,SC,PanelOne,Evaluated,,L21,cb.1f,List,
GBHE,L22,-68.96838204,44.51890408,6,3.603976006,SC,PanelOne,Evaluated,,L22,cg.1d,List,
GBHE,L23,-69.33397511,43.94081049,126,3.071330587,Co,PanelOne,Evaluated,,L23,cf.1k,List,
GBHE,L24,-68.29203136,44.56356052,2,1.722222222,Co,PanelOne,Evaluated,,L24,cl.1b,List,
GBHE,L25,-68.96838204,44.51890408,6,1.722222222,Co,PanelOne,Evaluated,,L25,cg.1d,List,
GBHE,L26,-68.25571623,44.64955124,46,1.722222222,Co,PanelOne,Evaluated,,L26,cl.1a,List,
GBHE,L27,-70.03711468,43.80464209,221,1.893942164,Co,PanelOne,Evaluated,,L27,ca.1n,List,
GBHE,L28,-69.05893788,43.97702199,53,23.71949534,Co,PanelOne,Evaluated,,L28,ch.1j,List,
GBHE,L29,-69.54003071,44.07648467,27,1.722222222,Co,PanelOne,Evaluated,,L29,cd.1j,List,
GBHE,L30,-68.59243044,44.15926128,31,4.011389743,Co,PanelOne,Evaluated,,L30,ck.1g,List,
GBHE,L31,-69.696149019999993,44.66809469,2,1.961166235,SC,PanelOne,Evaluated,,L31,ca.1d,List,
GBHE,L32,-68.77616927,44.66591999,9,2.052840933,SC,PanelOne,Evaluated,,L32,ch.1b,List,
GBHE,L33,-69.21061367,44.56906916,3,1.960955277,SC,PanelOne,Evaluated,,L33,ce.1d,List,
GBHE,L34,-68.68239265,45.20842007,5,2.394792807,SC,PanelOne,Evaluated,,L34,cg.15,List,
GBHE,L35,-70.65012455,43.55475654,13,1.961159746,SC,PanelOne,Evaluated,,L35,c6.1r,List,
GBHE,L36,-69.38338894,44.79142823,10,1.96104814,SC,PanelOne,Evaluated,,L36,cc.1b,List,
GBHE,L37,-70.60590286,44.01070734,4,1.961173534,SC,PanelOne,Evaluated,,L37,c5.1m,List,
GBHE,L38,-68.71846269,45.12220354,6,1.987808258,SC,PanelOne,Evaluated,,L38,cg.16,List,
GBHE,L39,-68.81183064,44.57978615,5,3.890712945,SC,PanelOne,Evaluated,,L39,ch.1c,List,
GBHE,L40,-70.74806366,43.29548737,17,1.96112599,SC,PanelOne,Evaluated,,L40,c6.1u,List,
GBHE,L41,-70.77008829,43.57832038,4,1.96111879,SC,PanelOne,Evaluated,,L41,c5.1r,List,
GBHE,L42,-70.04179353,44.45763405,10,1.961228604,SC,PanelOne,Evaluated,,L42,c8.1g,List,
GBHE,L43,-68.91210579,44.97511717,21,1.974495787,SC,PanelOne,Evaluated,,L43,cf.18,List,
GBHE,L44,-70.36465034,43.9631338,1,1.96122116,SC,PanelOne,Evaluated,,L44,c7.1m,List,
GBHE,L45,-69.24567095,44.48283852,3,1.960974523,SC,PanelOne,Evaluated,,L45,ce.1e,List,
GBHE,L46,-69.69476973,44.01481571,2,10.48104125,SC,PanelOne,Evaluated,,L46,cc.1k,List,
GBHE,L47,-70.63890661,43.92421829,10,1.961163998,SC,PanelOne,Evaluated,,L47,c5.1n,List,
GBHE,L48,-68.59648925,45.09669662,9,1.960497104,SC,PanelOne,Evaluated,,L48,ch.16,List,
GBHE,L49,-70.59589762,43.35830047,15,2.032405144,SC,PanelOne,Evaluated,,L49,c7.1t,List,
