Svy,siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,Plot,PlotID,SmpType,Comment
GBHE,A01,-69.8202266524,44.0593528017,0,30.1998694196,SC,PanelOne,Evaluated,,A01,cb.1k,Area,
GBHE,A02,-69.8863583128,44.5197631508,0,14.6698839376,SC,PanelOne,Evaluated,,A02,c9.1f,Area,
GBHE,A03,-69.0187859278,44.7164495757,0,14.6670800766,SC,PanelOne,Evaluated,,A03,cf.1b,Area,
GBHE,A04,-70.551441081,43.8140707501,11,14.6697171955,SC,PanelOne,Evaluated,,A04,c6.1o,Cmb,Evaluated on 2 separate dates because Robs got sick during first survey attempt.
GBHE,A05,-69.7120953235,44.2983122306,14,14.7867922855,SC,PanelOne,Evaluated,,A05,cb.1h,Cmb,
GBHE,A06,-69.3483474347,44.8777539193,67,14.6685554638,SC,PanelOne,Evaluated,,A06,cc.1a,Cmb,
GBHE,A07,-70.6997886381,43.1119656269,0,24.6231358584,SC,PanelOne,Evaluated,,A07,c7.1w,Area,
GBHE,A08,-70.1770411147,44.1119751027,0,14.6700627081,SC,PanelOne,Evaluated,,A08,c8.1k,Area,
GBHE,A09,-69.1783360998,44.378854936,0,22.1777355217,SC,PanelOne,Evaluated,,A09,cf.1f,Area,
GBHE,A10,-68.619103795,44.7265958207,0,14.6646436109,SC,PanelOne,Evaluated,,A10,ci.1a,Area,
GBHE,A11,-70.8576040322,43.6882754994,9,14.6689436711,SC,PanelOne,Evaluated,,A11,c4.1q,Cmb,
GBHE,A12,-70.6594088065,44.2037849719,0,15.898039469,SC,PanelOne,Evaluated,,A12,c4.1k,Area,
GBHE,A13,-69.3667795857,44.5077218007,5,14.6686039299,SC,OverSamp,,,A13,cd.1e,CmbOver,
GBHE,A14,-69.0694858109,44.9140630122,0,14.6673562929,SC,OverSamp,,,A14,ce.19,AreaOver,
GBHE,A15,-70.6173131736,43.6411893097,0,14.6695860195,SC,OverSamp,,,A15,c6.1q,AreaOver,
GBHE,A16,-70.8249912105,43.7747805168,1,14.6690497125,SC,OverSamp,,,A16,c4.1p,CmbOver,
GBHE,A17,-67.2277034084,44.8942040578,0,8.27831688918,Co,PanelOne,Evaluated,,A17,cs.15,Area,
GBHE,A18,-67.927926004,44.4918704921,0,9.96337376348,Co,PanelOne,Evaluated,,A18,co.1b,Area,
GBHE,A19,-69.2372337478,43.9450271762,0,34.7406772063,Co,PanelOne,Evaluated,,A19,cg.1k,Area,
GBHE,A20,-68.4493378561,44.5077520588,0,8.86832542952,Co,PanelOne,Evaluated,,A20,ck.1c,Area,
GBHE,A21,-67.4199371104,44.7515435987,1,7.84743231025,Co,PanelOne,Evaluated,,A21,cr.17,Cmb,
GBHE,A22,-68.3538036282,44.3906244695,0,11.1975578207,Co,PanelOne,Evaluated,,A22,cl.1d,Area,
GBHE,A23,-70.1237360148,43.9151261575,0,7.49600942318,Co,PanelOne,Evaluated,,A23,c9.1m,Area,
GBHE,A24,-68.8600789715,44.5019764435,11,11.1508427895,Co,PanelOne,Evaluated,,A24,ch.1d,Cmb,
GBHE,A25,-67.5785743981,44.6916240402,0,7.70526405986,Co,PanelOne,Evaluated,,A25,cq.18,Area,
GBHE,A26,-68.4518882434,44.1472653262,0,26.5456627957,Co,OverSamp,Evaluated,,A26,cl.1g,AreaOver,
GBHE,A27,-69.3654517645,44.1239482951,0,13.9548221052,Co,OverSamp,,,A27,ce.1i,AreaOver,
GBHE,A28,-69.2275471575,44.1971803946,0,7.89694923951,Co,OverSamp,,,A28,cf.1h,AreaOver,
GBHE,A29,-67.397168828,45.1140037962,0,79.6090355686,ND,PanelOne,Evaluated,,A29,cq.13,Area,
GBHE,A30,-70.0122097064,45.1980945316,0,66.1038011121,ND,PanelOne,Evaluated,,A30,c6.18,Area,
GBHE,A31,-69.8419465768,46.2868853431,0,66.103024434,ND,PanelOne,Evaluated,,A31,c4.0w,Area,
GBHE,A32,-67.9925426827,47.1331236796,0,68.447679033,ND,PanelOne,Evaluated,,A32,cf.0j,Area,
GBHE,A33,-69.5397907545,45.384168324,0,66.1001240366,ND,PanelOne,Evaluated,,A33,c9.15,Area,
GBHE,A34,-70.6601215452,45.2313750707,0,66.101601186,ND,PanelOne,Evaluated,,A34,c1.19,Area,
GBHE,A35,-68.5505038344,45.837891929,0,66.0784347839,ND,PanelOne,Evaluated,,A35,cf.0y,Area,
GBHE,A36,-69.2530615406,46.7330487775,0,66.0961219373,ND,PanelOne,Evaluated,,A36,c7.0q,Area,
GBHE,A37,-68.804601938,45.2338558291,0,66.0854551256,ND,PanelOne,Evaluated,,A37,cf.15,Area,
GBHE,A38,-69.1480724658,46.336140861,0,66.0940507303,ND,OverSamp,Evaluated,,A38,c9.0u,AreaOver,
GBHE,A39,-68.7385997872,46.3467026269,0,66.0844143735,ND,OverSamp,Evaluated,,A39,cc.0t,AreaOver,
GBHE,A40,-69.9470975081,46.0266168993,0,66.1035714427,ND,OverSamp,Evaluated,,A40,c4.0z,AreaOver,
GBHE,L01,-68.5964892476,45.0966966173,1,1.65789473684,SC,PanelOne,Evaluated,,L01,ch.16,List,
GBHE,L02,-69.054164517,44.6302417403,1,1.65789473684,SC,PanelOne,Evaluated,,L02,cf.1c,List,
GBHE,L03,-70.6937096468,44.1208604261,1,1.65789473684,SC,PanelOne,Evaluated,,L03,c4.1l,List,
GBHE,L04,-69.9051577244,44.80340815,2,0.828947368421,SC,PanelOne,Evaluated,,L04,c8.1c,List,
GBHE,L05,-68.790325612,44.9497948226,1,1.65789473684,SC,PanelOne,Evaluated,,L05,cg.18,List,
GBHE,L06,-68.9825049152,44.5353591597,1,1.65789473684,SC,PanelOne,Evaluated,,L06,cg.1d,List,
GBHE,L07,-69.5917677764,44.2736276545,2,0.828947368421,SC,PanelOne,Evaluated,,L07,cc.1h,List,
GBHE,L08,-69.5055563395,44.1627197987,1,1.65789473684,SC,PanelOne,Evaluated,,L08,cd.1i,List,
GBHE,L09,-69.1282503055,44.4605506212,2,0.828947368421,SC,PanelOne,Evaluated,,L09,cf.1e,List,
GBHE,L10,-68.5831184352,44.8127060956,2,0.828947368421,SC,PanelOne,Evaluated,,L10,ci.19,List,
GBHE,L11,-70.0225199429,44.1742177876,1,1.65789473684,SC,PanelOne,Evaluated,,L11,c9.1j,List,
GBHE,L12,-70.6828532205,43.4683287753,1,1.65789473684,SC,PanelOne,Evaluated,,L12,c6.1s,List,
GBHE,L13,-69.2617645944,44.7665442864,1,1.65789473684,SC,PanelOne,Evaluated,,L13,cd.1b,List,
GBHE,L14,-70.3979368278,43.8767129183,3,0.552631578947,SC,PanelOne,Evaluated,,L14,c7.1n,List,
GBHE,L15,-69.8341673279,44.3229787625,1,1.65789473684,SC,PanelOne,Evaluated,,L15,ca.1h,List,
GBHE,L16,-70.770088291,43.5783203794,1,1.65789473684,SC,PanelOne,Evaluated,,L16,c5.1r,List,
GBHE,L17,-68.9330523756,44.6050571641,1,1.65789473684,SC,PanelOne,Evaluated,,L17,cg.1c,List,
GBHE,L18,-69.8521002463,44.6061670736,2,0.828947368421,SC,PanelOne,Evaluated,,L18,c9.1e,List,
GBHE,L19,-68.983316835,44.8026646043,2,0.828947368421,SC,PanelOne,Evaluated,,L19,cf.1a,List,
GBHE,L20,-70.7812130602,43.1367572126,2,0.828947368421,SC,PanelOne,Evaluated,,L20,c6.1w,List,
GBHE,L21,-69.3155182307,44.3103970319,1,1.65789473684,SC,PanelOne,Evaluated,,L21,ce.1g,List,
GBHE,L22,-70.1095895558,44.2847911157,1,1.65789473684,SC,PanelOne,Evaluated,,L22,c8.1i,List,
GBHE,L23,-70.7374172464,43.6647865638,2,0.828947368421,SC,PanelOne,Evaluated,,L23,c5.1q,List,
GBHE,L24,-70.92199127,44.1603786998,1,1.65789473684,SC,PanelOne,Evaluated,,L24,c2.1l,List,
GBHE,L25,-68.6326094804,45.0105261962,1,1.65789473684,SC,PanelOne,Evaluated,,L25,ch.17,List,
GBHE,L26,-70.4852344768,43.9869748948,1,1.65789473684,SC,PanelOne,Evaluated,,L26,c6.1m,List,
GBHE,L27,-69.1904413186,44.9379320289,3,0.552631578947,SC,PanelOne,Evaluated,,L27,cd.19,List,
GBHE,L28,-68.4978825009,44.7010225339,1,1.65789473684,SC,PanelOne,Evaluated,,L28,cj.1a,List,
GBHE,L29,-69.6438063413,44.470829991,1,1.65789473684,SC,PanelOne,Evaluated,,L29,cb.1f,List,
GBHE,L30,-70.8351834601,43.4054032505,1,1.65789473684,SC,PanelOne,Evaluated,,L30,c5.1t,List,
GBHE,L31,-68.4586721669,44.8688044605,1,1.65789473684,SC,PanelOne,Evaluated,,L31,cj.18,List,
GBHE,L32,-70.7480636643,43.295487366,1,1.65789473684,SC,PanelOne,Evaluated,,L32,c6.1u,List,
GBHE,L33,-69.2968590561,44.6802629025,2,0.828947368421,SC,PanelOne,Evaluated,,L33,cd.1c,List,
GBHE,L34,-69.9546126071,44.3469768674,1,1.65789473684,SC,PanelOne,Evaluated,,L34,c9.1h,List,
GBHE,L35,-69.418340837,44.7051102369,1,1.65789473684,SC,PanelOne,Evaluated,,L35,cc.1c,List,
GBHE,L36,-69.7993515192,44.4089899816,2,0.828947368421,SC,PanelOne,Evaluated,,L36,ca.1g,List,
GBHE,L37,-70.6501245496,43.554756541,4,0.414473684211,SC,PanelOne,Evaluated,,L37,c6.1r,List,Evaluated on 2 separated dates (skipped 1 colony unknowingly on first survey attempt.
GBHE,L38,-70.872009977,44.2140583219,1,1.65789473684,SC,PanelOne,Evaluated,,L38,c2.1k,List,Did not evaluate colony 
GBHE,L39,-70.030175047,43.8132800925,1,1.07142857143,Co,PanelOne,Evaluated,,L39,ca.1n,List,
GBHE,L40,-69.9835756013,43.7301806292,1,1.07142857143,Co,PanelOne,Evaluated,,L40,cb.1o,List,
GBHE,L41,-68.2970489105,44.5655377704,1,1.07142857143,Co,PanelOne,Evaluated,,L41,cl.1b,List,
GBHE,L42,-69.3258751463,43.958750851,1,1.07142857143,Co,PanelOne,Evaluated,,L42,cf.1k,List,
GBHE,L43,-68.6190678058,44.1748097981,1,1.07142857143,Co,PanelOne,Evaluated,,L43,ck.1g,List,
GBHE,L44,-69.696406633,44.0079189606,1,1.07142857143,Co,PanelOne,Evaluated,,L44,cc.1k,List,
GBHE,L45,-70.0904837741,43.7287206082,1,1.07142857143,Co,PanelOne,Evaluated,,L45,ca.1o,List,
GBHE,L46,-68.2511736404,44.6250897289,2,0.535714285714,Co,PanelOne,Evaluated,,L46,cl.1a,List,
GBHE,L47,-68.4081181161,44.5775878798,1,1.07142857143,Co,PanelOne,Evaluated,,L47,ck.1b,List,
GBHE,L48,-69.0736095176,43.9954906161,1,1.07142857143,Co,PanelOne,Evaluated,,L48,ch.1j,List,
GBHE,L49,-69.9150547515,43.7963307936,1,1.07142857143,Co,PanelOne,Evaluated,,L49,cb.1n,List,
GBHE,L50,-68.9515401742,44.4992693404,1,1.07142857143,Co,PanelOne,Evaluated,,L50,cg.1d,List,
GBHE,L51,-69.5316099287,44.0599969072,1,1.07142857143,Co,PanelOne,Evaluated,,L51,cd.1j,List,
GBHE,L52,-68.0735872643,44.4263051305,1,1.07142857143,Co,PanelOne,Evaluated,,L52,cn.1c,List,
GBHE,L53,-70.9725489926,45.1049408002,1,1.15384615385,ND,PanelOne,Evaluated,,L53,bz.1b,List,
GBHE,L54,-69.5573072842,45.0136746891,1,1.15384615385,ND,PanelOne,Evaluated,,L54,ca.19,List,
GBHE,L55,-70.3725084789,44.6163196576,1,1.15384615385,ND,PanelOne,Evaluated,,L55,c5.1f,List,
GBHE,L56,-68.0248484195,44.8815506023,1,1.15384615385,ND,PanelOne,Evaluated,,L56,cm.17,List,
GBHE,L57,-70.8701791526,44.3410643474,1,1.15384615385,ND,PanelOne,Evaluated,,L57,c2.1j,List,
GBHE,L58,-67.811788238,46.7108087546,1,1.15384615385,ND,PanelOne,Evaluated,,L58,ci.0n,List,
GBHE,L59,-70.1549458242,45.5063988827,1,1.15384615385,ND,PanelOne,Evaluated,,L59,c4.15,List,
GBHE,L60,-70.388040558,44.2485355155,2,0.576923076923,ND,PanelOne,Evaluated,,L60,c6.1j,List,
GBHE,L61,-68.3324610801,44.763920724,1,1.15384615385,ND,PanelOne,Evaluated,,L61,ck.19,List,
GBHE,L62,-68.0057038844,46.4766776108,1,1.15384615385,ND,PanelOne,Evaluated,,L62,ch.0q,List,
GBHE,L63,-69.6098192731,45.2112177652,1,1.15384615385,ND,PanelOne,Evaluated,,L63,c9.17,List,
GBHE,L64,-70.7711920562,44.6009442259,1,1.15384615385,ND,PanelOne,Evaluated,,L64,c2.1g,List,
GBHE,L65,-68.8451566559,45.1518630802,1,1.15384615385,ND,PanelOne,Evaluated,,L65,cf.16,List,
GBHE,L66,-67.9784739939,44.6963586066,1,1.15384615385,ND,OverSamp,Evaluated,,L66,cn.19,ListOver,
